"subject","item","age","condition","RTs"
22,19,23,"1",2937
24,19,23,"2",2943
1,16,48,"1",2955
1,30,48,"1",2957
24,5,23,"2",2961
2,3,48,"1",2971
2,17,48,"2",2995
22,19,23,"2",2998
1,22,48,"1",2999
24,21,23,"1",3014
25,12,28,"1",3014
24,29,23,"1",3026
18,9,24,"1",3039
17,6,27,"2",3068
1,28,48,"1",3092
13,24,22,"1",3096
11,8,48,"1",3105
24,19,23,"1",3116
18,21,24,"1",3121
2,7,48,"2",3130
1,12,48,"1",3143
7,2,24,"1",3150
6,15,27,"1",3165
17,28,27,"1",3171
26,21,28,"2",3214
2,9,48,"2",3229
1,20,48,"2",3232
17,24,27,"1",3236
24,23,23,"1",3246
3,2,29,"2",3271
3,4,29,"1",3291
3,22,29,"1",3318
18,1,24,"1",3319
2,19,48,"1",3329
1,16,48,"2",3339
7,8,24,"2",3344
24,13,23,"2",3349
1,18,48,"1",3363
17,30,27,"1",3439
2,19,48,"2",3439
25,2,28,"2",3449
2,13,48,"1",3458
13,12,22,"1",3480
19,12,18,"1",3490
2,29,48,"1",3491
24,9,23,"1",3529
10,17,26,"2",3532
2,27,48,"2",3548
1,20,48,"1",3554
24,1,23,"1",3570
1,18,48,"2",3591
2,23,48,"2",3595
1,2,48,"2",3632
2,21,48,"1",3692
2,23,48,"1",3694
2,7,48,"1",3699
24,15,23,"2",3703
3,2,29,"1",3723
6,11,27,"1",3736
18,7,24,"2",3743
22,3,23,"2",3770
17,10,27,"2",3794
1,6,48,"1",3801
3,10,29,"1",3803
2,15,48,"2",3803
2,3,48,"2",3806
7,6,24,"2",3857
24,11,23,"1",3907
24,17,23,"1",3914
26,3,28,"2",3930
1,8,48,"1",3951
1,24,48,"1",3955
17,10,27,"1",3963
2,17,48,"1",4019
2,13,48,"2",4024
1,24,48,"2",4057
23,16,24,"2",4095
1,12,48,"2",4097
6,15,27,"2",4275
25,12,28,"2",4312
6,17,27,"2",4336
17,12,27,"2",4547
22,11,23,"2",4583
18,1,24,"2",4591
8,4,22,"2",4630
22,29,23,"2",4655
24,29,23,"2",4810
24,3,23,"2",4852
1,6,48,"2",4923
1,4,48,"2",4946
22,5,23,"2",5092
22,13,23,"2",5142
25,26,28,"2",5188
26,9,28,"2",5208
21,2,27,"2",5405
26,11,28,"2",5516
